rank,model_type,curve_feat_kind,curve_feat_param,use_stage1_score,model_kwargs,feat_k,sens_delta,spec_delta,ppv,ni_ci_upper,pass
1,hgb,cluster_band,8,True,"{'max_depth': 3, 'learning_rate': 0.06, 'max_iter': 500}",8,0.0,0.048907388137356955,0.22674418604651161,0.023537597639319504,True
2,hgb,cluster_band,8,True,"{'max_depth': 3, 'learning_rate': 0.1, 'max_iter': 500}",8,0.0,0.043704474505723234,0.22456813819577734,0.023537597639319504,True
3,hgb,cluster_band,8,True,"{'max_depth': 3, 'learning_rate': 0.1, 'max_iter': 300}",8,0.0,0.04162330905306977,0.2237093690248566,0.023537597639319504,True
4,hgb,cluster_band,8,True,"{'max_depth': 4, 'learning_rate': 0.06, 'max_iter': 100}",8,0.0,0.0395421436004163,0.22285714285714286,0.023537597639319504,True
5,logreg,pca,0.95,True,,6,0.0,0.03850156087408951,0.2224334600760456,0.023537597639319504,True
6,hgb,cluster_band,8,True,"{'max_depth': 3, 'learning_rate': 0.06, 'max_iter': 300}",8,0.0,0.037460978147762836,0.222011385199241,0.023537597639319504,True
7,hgb,cluster_band,8,True,"{'max_depth': 4, 'learning_rate': 0.1, 'max_iter': 150}",8,0.0,0.037460978147762836,0.222011385199241,0.023537597639319504,True
8,logreg,radiomics1d,8,True,{'C': 0.3},18,0.0,0.037460978147762836,0.222011385199241,0.023537597639319504,True
9,hgb,cluster_band,8,True,,8,0.0,0.03642039542143605,0.2215909090909091,0.023537597639319504,True
10,hgb,cluster_band,16,True,"{'max_depth': 3, 'learning_rate': 0.06, 'max_iter': 100}",16,0.0,0.03642039542143605,0.2215909090909091,0.023537597639319504,True
11,hgb,cluster_band,16,True,"{'max_depth': 2, 'learning_rate': 0.15, 'max_iter': 150}",16,0.0,0.03537981269510926,0.22117202268431002,0.023537597639319504,True
12,hgb,cluster_band,8,True,"{'max_depth': 2, 'learning_rate': 0.15, 'max_iter': 300}",8,0.0,0.03433922996878258,0.22075471698113208,0.023537597639319504,True
13,hgb,cluster_band,8,True,"{'max_depth': 3, 'learning_rate': 0.03, 'max_iter': 500}",8,0.0,0.03433922996878258,0.22075471698113208,0.023537597639319504,True
14,hgb,radiomics1d,8,True,"{'max_depth': 4, 'learning_rate': 0.06, 'max_iter': 100}",18,0.0,0.03433922996878258,0.22075471698113208,0.023537597639319504,True
15,hgb,cluster_band,8,True,"{'max_depth': 3, 'learning_rate': 0.03, 'max_iter': 100}",8,0.0,0.03329864724245579,0.22033898305084745,0.023537597639319504,True
16,hgb,cluster_band,8,True,"{'max_depth': 3, 'learning_rate': 0.1, 'max_iter': 100}",8,0.0,0.03329864724245579,0.22033898305084745,0.023537597639319504,True
17,hgb,cluster_band,16,True,"{'max_depth': 2, 'learning_rate': 0.1, 'max_iter': 150}",16,0.0,0.032258064516129115,0.2199248120300752,0.023537597639319504,True
18,hgb,cluster_band,16,True,"{'max_depth': 3, 'learning_rate': 0.03, 'max_iter': 300}",16,0.0,0.032258064516129115,0.2199248120300752,0.023537597639319504,True
19,logreg,cluster_band,16,True,{'C': 3.0},16,0.0,0.031217481789802326,0.21951219512195122,0.023537597639319504,True
20,hgb,band,16,True,"{'max_depth': 2, 'learning_rate': 0.06, 'max_iter': 100}",16,0.0,0.030176899063475537,0.21910112359550563,0.023537597639319504,True
21,hgb,cluster_band,8,True,"{'max_depth': 2, 'learning_rate': 0.15, 'max_iter': 500}",8,0.0,0.02913631633714886,0.21869158878504674,0.023537597639319504,True
22,hgb,cluster_band,8,True,"{'max_depth': 4, 'learning_rate': 0.15, 'max_iter': 100}",8,0.0,0.02913631633714886,0.21869158878504674,0.023537597639319504,True
23,hgb,cluster_band,16,True,"{'max_depth': 3, 'learning_rate': 0.1, 'max_iter': 100}",16,0.0,0.02913631633714886,0.21869158878504674,0.023537597639319504,True
24,logreg,radiomics1d,8,True,{'C': 10.0},18,0.0,0.02913631633714886,0.21869158878504674,0.023537597639319504,True
25,logreg,pca,0.95,True,{'C': 3.0},6,0.0,0.02809573361082207,0.21828358208955223,0.023537597639319504,True
26,hgb,cluster_band,8,True,"{'max_depth': 4, 'learning_rate': 0.1, 'max_iter': 100}",8,0.0,0.02809573361082207,0.21828358208955223,0.023537597639319504,True
27,hgb,cluster_band,16,True,"{'max_depth': 2, 'learning_rate': 0.1, 'max_iter': 100}",16,0.0,0.02809573361082207,0.21828358208955223,0.023537597639319504,True
28,hgb,cluster_band,16,True,"{'max_depth': 2, 'learning_rate': 0.15, 'max_iter': 100}",16,0.0,0.02809573361082207,0.21828358208955223,0.023537597639319504,True
29,hgb,cluster_band,16,True,"{'max_depth': 3, 'learning_rate': 0.03, 'max_iter': 150}",16,0.0,0.02809573361082207,0.21828358208955223,0.023537597639319504,True
30,logreg,radiomics1d,8,True,{'C': 0.1},18,0.0,0.02809573361082207,0.21828358208955223,0.023537597639319504,True
31,hgb,cluster_band,8,True,"{'max_depth': 3, 'learning_rate': 0.15, 'max_iter': 500}",8,0.0,0.027055150884495394,0.21787709497206703,0.023537597639319504,True
32,hgb,cluster_band,16,True,"{'max_depth': 2, 'learning_rate': 0.1, 'max_iter': 300}",16,0.0,0.027055150884495394,0.21787709497206703,0.023537597639319504,True
33,logreg,radiomics1d,8,True,,18,0.0,0.026014568158168605,0.2174721189591078,0.023537597639319504,True
34,logreg,band,8,True,{'C': 3.0},8,0.0,0.026014568158168605,0.2174721189591078,0.023537597639319504,True
35,hgb,band,16,True,"{'max_depth': 2, 'learning_rate': 0.06, 'max_iter': 150}",16,0.0,0.026014568158168605,0.2174721189591078,0.023537597639319504,True
36,hgb,cluster_band,8,True,"{'max_depth': 2, 'learning_rate': 0.15, 'max_iter': 150}",8,0.0,0.026014568158168605,0.2174721189591078,0.023537597639319504,True
