feature,model,cohort,n,n_pos,prevalence,auc,auc_ci_lower,auc_ci_upper,threshold,sensitivity,specificity,accuracy
SAT(피하지방)_SUM,clinic4,internal,1090,148,0.13577981651376148,0.8405993573191025,0.801812635254585,0.8747924024702973,0.16062112425993147,0.7567567567567568,0.8205944798301487,0.8119266055045872
SAT(피하지방)_SUM,clinic4,external,926,145,0.15658747300215983,0.8731423020883924,0.8382513267739393,0.9041671026033812,0.16062112425993147,0.7103448275862069,0.8693982074263764,0.8444924406047516
SAT(피하지방)_SUM,clinic4_aec_best,internal,1090,148,0.13577981651376148,0.8497446491077063,0.8141408313955381,0.8830930449222671,0.22009617806124818,0.6756756756756757,0.8906581740976646,0.8614678899082568
SAT(피하지방)_SUM,clinic4_aec_best,external,926,145,0.15658747300215983,0.8859905514592256,0.8534285708567975,0.9152019299804641,0.22009617806124818,0.38620689655172413,0.9807938540332907,0.8876889848812095
VAT(내장지방)_SUM,clinic4,internal,1090,165,0.15137614678899083,0.8472203112203112,0.8153856873153187,0.8761377924090338,0.1511541131190099,0.793939393939394,0.7437837837837837,0.7513761467889908
VAT(내장지방)_SUM,clinic4,external,926,199,0.21490280777537796,0.8128780076448265,0.7762362931897592,0.8475432882703441,0.1511541131190099,0.6984924623115578,0.7785419532324622,0.7613390928725702
VAT(내장지방)_SUM,clinic4_aec_best,internal,1090,165,0.15137614678899083,0.8943357903357904,0.8709642379191612,0.9163568552291088,0.22086825826019543,0.7575757575757576,0.8637837837837837,0.8477064220183487
VAT(내장지방)_SUM,clinic4_aec_best,external,926,199,0.21490280777537796,0.8600291692299185,0.8298609654612497,0.8886034481557782,0.22086825826019543,0.5728643216080402,0.9147180192572214,0.8412526997840173
Total Fat_SUM,clinic4,internal,1090,157,0.14403669724770643,0.8522265686334747,0.8155032691140333,0.8845690425945478,0.14334105136393988,0.8089171974522293,0.7770632368703109,0.781651376146789
Total Fat_SUM,clinic4,external,926,169,0.18250539956803455,0.8673289925195219,0.8335696902645393,0.8986833331834964,0.14334105136393988,0.7396449704142012,0.8309114927344782,0.8142548596112311
Total Fat_SUM,clinic4_aec_best,internal,1090,157,0.14403669724770643,0.8706248591967559,0.8379926494234141,0.9002222246991083,0.1693975909849726,0.7770700636942676,0.8338692390139335,0.8256880733944955
Total Fat_SUM,clinic4_aec_best,external,926,169,0.18250539956803455,0.8892545316689204,0.8592861295150372,0.9163971386243722,0.1693975909849726,0.5325443786982249,0.9577278731836195,0.8801295896328294
VAT_TotalFat_ratio,clinic4,internal,1090,175,0.16055045871559634,0.7568462138953941,0.7213239401516336,0.792571334158996,0.13247373465109458,0.7828571428571428,0.5989071038251366,0.6284403669724771
VAT_TotalFat_ratio,clinic4,external,926,195,0.21058315334773217,0.7075484934582061,0.6670758381869288,0.7461979465726625,0.13247373465109458,0.7948717948717948,0.5157318741450069,0.5745140388768899
VAT_TotalFat_ratio,clinic4_aec_best,internal,1090,175,0.16055045871559634,0.8301951600312255,0.797690355984591,0.8617167277167277,0.11795710674240308,0.8571428571428571,0.6568306010928961,0.6889908256880733
VAT_TotalFat_ratio,clinic4_aec_best,external,926,195,0.21058315334773217,0.7866217685643129,0.7521167683909314,0.8215823139246337,0.11795710674240308,0.882051282051282,0.4993160054719562,0.5799136069114471
VAT_SAT_ratio,clinic4,internal,1090,162,0.14862385321100918,0.7627314814814815,0.7267494471552153,0.7980299266992981,0.11818486646191724,0.8271604938271605,0.5775862068965517,0.6146788990825688
VAT_SAT_ratio,clinic4,external,926,178,0.19222462203023757,0.7099944421077931,0.6680902502403913,0.7504833612040155,0.11818486646191724,0.8033707865168539,0.49331550802139035,0.5529157667386609
VAT_SAT_ratio,clinic4_aec_best,internal,1090,162,0.14862385321100918,0.844115847169008,0.8111203628453325,0.8758628336469865,0.15124032928094677,0.8148148148148148,0.7435344827586207,0.7541284403669725
VAT_SAT_ratio,clinic4_aec_best,external,926,178,0.19222462203023757,0.7837078651685394,0.7466838124359483,0.8204939308939949,0.15124032928094677,0.8033707865168539,0.6082887700534759,0.6457883369330454
VAT_TAMA_ratio,clinic4,internal,1090,167,0.15321100917431194,0.8420342413764021,0.8105581386194736,0.8700547090794559,0.14103348133134697,0.8203592814371258,0.7269772481040087,0.7412844036697248
VAT_TAMA_ratio,clinic4,external,926,204,0.2203023758099352,0.8030355493998153,0.7676138711112445,0.8370743931549636,0.14103348133134697,0.7598039215686274,0.6911357340720221,0.7062634989200864
VAT_TAMA_ratio,clinic4_aec_best,internal,1090,167,0.15321100917431194,0.8902433486223652,0.8642063382615793,0.9141905313915012,0.20028591617826116,0.7964071856287425,0.8559046587215602,0.846788990825688
VAT_TAMA_ratio,clinic4_aec_best,external,926,204,0.2203023758099352,0.849186627559611,0.8185355085955218,0.8782566779775919,0.20028591617826116,0.6372549019607843,0.8573407202216067,0.8088552915766739
TotalFat_TAMA_ratio,clinic4,internal,1090,127,0.11651376146788991,0.8213669552988119,0.7817941133246177,0.8582257614128387,0.15161680411567574,0.7007874015748031,0.7975077881619937,0.7862385321100918
TotalFat_TAMA_ratio,clinic4,external,926,154,0.16630669546436286,0.8188631316869659,0.7799016232399668,0.856605074897568,0.15161680411567574,0.6493506493506493,0.844559585492228,0.8120950323974082
TotalFat_TAMA_ratio,clinic4_aec_best,internal,1090,127,0.11651376146788991,0.8477199695832413,0.8120898339819738,0.8812199206375443,0.08921531664677308,0.8188976377952756,0.719626168224299,0.7311926605504587
TotalFat_TAMA_ratio,clinic4_aec_best,external,926,154,0.16630669546436286,0.8561587376354216,0.8242074885615895,0.887132199020539,0.08921531664677308,0.5909090909090909,0.8911917098445595,0.8412526997840173
SAT_TotalFat_ratio,clinic4,internal,1090,171,0.15688073394495414,0.7746151741341021,0.7346362923583671,0.8107138441996152,0.1692727999014626,0.7017543859649122,0.7366702937976061,0.7311926605504587
SAT_TotalFat_ratio,clinic4,external,926,118,0.12742980561555076,0.7588626447390504,0.7127293169714383,0.7997257588149764,0.1692727999014626,0.6440677966101694,0.7413366336633663,0.7289416846652268
SAT_TotalFat_ratio,clinic4_aec_best,internal,1090,171,0.15688073394495414,0.811102838707214,0.7768492342425548,0.842099014382317,0.16066515680421475,0.7485380116959064,0.735582154515778,0.7376146788990826
SAT_TotalFat_ratio,clinic4_aec_best,external,926,118,0.12742980561555076,0.7957815908709516,0.7563583632839326,0.8317903054447718,0.16066515680421475,0.8220338983050848,0.6757425742574258,0.6943844492440605
SAT_TAMA_ratio,clinic4,internal,1090,116,0.10642201834862386,0.8185672307583375,0.7774549203056962,0.8557149746210209,0.09685063716291348,0.8275862068965517,0.6704312114989733,0.6871559633027523
SAT_TAMA_ratio,clinic4,external,926,123,0.132829373650108,0.8184349340380079,0.7764571906510805,0.8576885245092085,0.09685063716291348,0.7398373983739838,0.7534246575342466,0.7516198704103672
SAT_TAMA_ratio,clinic4_aec_best,internal,1090,116,0.10642201834862386,0.8451550662040643,0.8086357870798531,0.8785922387713931,0.12851700690228277,0.7413793103448276,0.8172484599589322,0.8091743119266055
SAT_TAMA_ratio,clinic4_aec_best,external,926,123,0.132829373650108,0.8385222083852221,0.8018387627694392,0.8734389612834013,0.12851700690228277,0.36585365853658536,0.9613947696139477,0.8822894168466523
